Id,duns,bp name,addr,postl
110,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,JP-Tokyo 100-8251",NULL
111,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
112,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",100-8251
113,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome,JP-Tokyo 100-8251",NULL
114,690553821,Mitsubishi Chemical Corporation,"1-1,  Marunouchi 1-chome, Chiyoda-ku, TOKYO  100-8251, Japan",NULL
115,690553821,Mitsubishi Chemical Corporation,"1-1, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO 100-8251, JAPAN",NULL
116,690553821,Mitsubishi Chemical Corporation,"1-1, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO JAPAN",NULL
117,690553821,Mitsubishi Chemical Corporation,"1-1, Marunouchi 1-Chome, Chiyoda-ku,JP-100-8251 Tokyo",NULL
118,690553821,Mitsubishi Chemical Corporation,"1-1, Marunouchi 1-Chome, Chiyoda-ku,Tokyo 100-8251",NULL
119,690553821,Mitsubishi Chemical Corporation,"1-1,Marunouchi 1-CHOME,Chiyoda-ku ,Tokyo 100-8251,JAPAN",NULL
120,690553821,Mitsubishi Chemical Corporation,1-1，Marunouchi 1-chome，Chiyoda-ku，Tokyo,1008251
121,690553821,Mitsubishi Chemical Corporation,"1-1,Marunouchi 1-chome,Chiyoda-ku,Tokyo",NULL
122,690553821,Mitsubishi Chemical Corporation,"1-1,Marunouchi 1-chome,Chiyoda-kuTokyo 100-8251,Japan",100-8251
123,690553821,Mitsubishi Chemical Corporation,"1-1-1 Marunouchi Chiyoda-Ku,Tokyo",NULL
124,690553821,Mitsubishi Chemical Corporation,"1-1-1, Marunouchi, Chiyoda-ku, Tokyo, 100-8251, Japan",NULL
125,690553821,Mitsubishi Chemical Corporation,"1-1-1, Marunouchi, Chiyoda-ku, Tokyo, 100-8252, Japan",NULL
126,690553821,Mitsubishi Chemical Corporation,"1-1-1, Marunouchi, Chiyoda-ku,JP- Tokyo, 100-8251",NULL
127,690553821,Mitsubishi Chemical Corporation,"1-1-1，MARUNOUCHI，CHIYODA-KU,TOKYO JAPAN 100-8251",NULL
128,690553821,Mitsubishi Chemical Corporation,"Chiyoda-ku,Tokyo",1008251
129,690553821,Mitsubishi Chemical Corporation,"Kandakonya-cho, Chiyoda-ku 7,Tokyo",1010035
130,690553821,Mitsubishi Chemical Corporation,"Marunouchi 1-C,Chiyoda-Ku, Tokyo",1008253
131,690553821,Mitsubishi Chemical Corporation,"Marunouchi 1-chome / Chiyoda-ku 1-1,Tokyo",1008251
